gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
gene:Smp_000020,4894.181165603015,0.22049357400502467,0.1672625365908494,1.3182484165260917,0.18742050260052334,0.24390199466487722
gene:Smp_000030,18780.96701656108,0.6408233359766388,0.11338983414247505,5.651506070389345,1.5904806950572783e-08,4.838303057065963e-08
gene:Smp_000040,5663.668189757196,-0.6090662681771555,0.13571065427979984,-4.487976801890737,7.190275607532193e-06,1.711393144476626e-05
gene:Smp_000050,2824.4910254903502,-1.7876523840206064,0.28182636872216366,-6.343098384037122,2.251895167732555e-10,7.984447899844605e-10
gene:Smp_000070,1794.5691984013665,0.465373761420855,0.16285269733986693,2.857636189160803,0.004268094347108795,0.0073869971378117795
gene:Smp_000075,3.3483463296481677,1.4424686279867083,1.724552813045448,0.8364305326430698,0.4029127418111401,0.48101768651168736
gene:Smp_000080,12.055361594089181,-1.9968097439350578,0.9075453022710782,-2.2002314803879877,0.027790475863253047,0.042684454967968015
gene:Smp_000100,26042.364285943502,2.7415603308007506,0.08665594257021793,31.637303218752074,1.1337526170449171e-219,1.082960499801305e-216
gene:Smp_000110,2993.2905660502456,0.5768040120423594,0.21943548906504579,2.628581249550665,0.008574187020158304,0.014278353280430985
gene:Smp_000130,5992.504602286866,-0.1901255268303923,0.2216146327796289,-0.8579105289471161,0.3909418698367976,0.4682478671700427
gene:Smp_000150,5933.919227379878,1.8619537348256514,0.23895913704923574,7.791933624375325,6.599140009726707e-15,3.227597817353277e-14
gene:Smp_000160,821.8988937165807,-3.572020759012535,0.22926570544929398,-15.580266363922222,9.914077080399958e-55,3.322781202525628e-53
gene:Smp_000180,14.870972589324648,-0.6198655946526964,0.8073718281936273,-0.7677572749095696,0.44263140192663875,0.521590815593789
gene:Smp_000190,751.1342646438763,-1.6790830438231377,0.2411277621137972,-6.963457998796156,3.3202018196457837e-12,1.3449774292305568e-11
gene:Smp_000200,1303.2917951023796,0.5576452458339184,0.2794462600516834,1.995536622071028,0.04598438406557085,0.06808910813739463
gene:Smp_000230,3962.5129305450023,0.5456461935310277,0.15921444224269624,3.427114939103827,0.0006100308001330587,0.0011733975264973558
gene:Smp_000240,12320.280533001085,0.19871924387913753,0.23885835328579275,0.8319543409117077,0.4054347172724153,0.4837262577299664
gene:Smp_000250,5.080613527694192,0.964709165806935,0.9624880262871619,1.0023077061315155,0.3161950018294605,0.39031980582514947
gene:Smp_000260,20221.748417689596,0.023157065260679708,0.20249625222274953,0.11435799431589737,0.9089540111632017,0.9329818090082639
gene:Smp_000270,7.929345546784099,2.7281924037252665,1.2504788626414007,2.181718128335632,0.029130342154703767,0.044577543777912586
